tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_userid,in_reply_to_tweetid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions
"1154386748509761536","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","Harare, Zimbabwe","I'm an aspiring blogger from Zimbabwe🇿🇼. Uncovering the beauty and true potential of my homeland🙏",,3141,1670,"2019-06-19","en","en","@hesedgal Economic sanctions nothing specific yet, just threats.","2019-07-25 13:43","Twitter Web App","930904135779717120","1.1543832089072026e+18",,"False",,,"absent","absent",0,0,0,0,"[]","[]","['930904135779717120']"
"1208731263525380096","Uc1iIo5iOu1wFZlGe0GlzSIi7hyi8wPV8TCKNEQmus=","Uc1iIo5iOu1wFZlGe0GlzSIi7hyi8wPV8TCKNEQmus=","Uc1iIo5iOu1wFZlGe0GlzSIi7hyi8wPV8TCKNEQmus=","Paris","Si vous me demandez il est où ma maison, je vous réponds Pangui (Paris+Bangui) 🇨🇫 🇫🇷 Master Politique transnationale / Paris 8",,836,1035,"2019-11-18","fr","fr","La plupart des pseudo-militants représentent des gens qui sont venus à zieuter. Bienvenue à Zombieland !#RCA https://t.co/6eo4Vdwdxx","2019-12-22 12:49","Twitter Web App","Uc1iIo5iOu1wFZlGe0GlzSIi7hyi8wPV8TCKNEQmus=","1.208731252133634e+18",,"False",,,"absent","absent",0,0,0,0,"['RCA']","[]","[]"
"1166685725087191040","Ct4B012M22Y6RN1iDdtpoBJNMIhLhTGXvC821LpbBU=","Ct4B012M22Y6RN1iDdtpoBJNMIhLhTGXvC821LpbBU=","Ct4B012M22Y6RN1iDdtpoBJNMIhLhTGXvC821LpbBU=","Kingdom of Saudi Arabia","I used to love my old twitter account, then everyone from work found me. This is my new account 😫Stay private, keep them guessing.....!!",,435,4717,"2013-09-13","en","ar","@mohmed_ammar وين درست؟","2019-08-28 12:15","Twitter for iPhone","1849757587","1.1642126023288136e+18",,"False",,,"absent","absent",0,0,0,0,"[]","[]","['1849757587']"
"1162668978499665921","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","Khartoum","Sudanese | truth fighter | activist | #BlueForSudan Some exclusives",,1058,1544,"2019-06-17","en","en","@FCOIrfan It's a triumphant day for Sudanese 🇸🇩And thank you, personally, I believe that this is a big step in a greater future for Sudan","2019-08-17 10:14","Twitter Web App","1917824005","1.1626559617792532e+18",,"False",,,"absent","absent",0,0,1,0,"[]","[]","['1917824005']"
"1204696085169614848","brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=","brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=","brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=",,"Your local Afrikan news junkie",,4763,4901,"2019-08-26","en","und","@danielmarvern @Rue00790302 @brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68= 👋","2019-12-11 09:35","Twitter Web App","893046363759550464","1.2046925575754752e+18",,"False",,,"absent","absent",0,0,59,0,"[]","[]","['893046363759550464', '1197502353005580288', 'brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=']"
"1147178100536553473","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","Khartoum","Sudanese | truth fighter | activist | #BlueForSudan Some exclusives",,1058,1544,"2019-06-17","en","en","@murta446 Yes, by mass shooting. And it's not funny at all","2019-07-05 16:19","Twitter Web Client","2933731348","1.1471777195258676e+18",,"False",,,"absent","absent",0,1,0,0,"[]","[]","['2933731348']"
"1200063360362041351","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","Harare, Zimbabwe","I'm an aspiring blogger from Zimbabwe🇿🇼. Uncovering the beauty and true potential of my homeland🙏",,3141,1670,"2019-06-19","en","en","@KumbaResources Not so much. I don't have access to this sort of information 🙄","2019-11-28 14:46","Twitter Web App","974762198340915200","1.2000623511243735e+18",,"False",,,"absent","absent",0,0,0,0,"[]","[]","['974762198340915200']"
"1147810824490143744","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","Khartoum","Sudanese | truth fighter | activist | #BlueForSudan Some exclusives",,1058,1544,"2019-06-17","en","en","@murta446 Whatever you say😉","2019-07-07 10:13","Twitter Web Client","2933731348","1.1478061062755532e+18",,"False",,,"absent","absent",0,1,0,0,"[]","[]","['2933731348']"
"1147804622532370432","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","Khartoum","Sudanese | truth fighter | activist | #BlueForSudan Some exclusives",,1058,1544,"2019-06-17","en","en","@murta446 Yeah, but I think there are enough people in the country who would be willing to vote for him.🤔","2019-07-07 09:48","Twitter Web Client","2933731348","1.1477973336245166e+18",,"False",,,"absent","absent",0,1,0,0,"[]","[]","['2933731348']"
"1209866089846497280","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","Harare, Zimbabwe","I'm an aspiring blogger from Zimbabwe🇿🇼. Uncovering the beauty and true potential of my homeland🙏",,3141,1670,"2019-06-19","en","et","@donemore_m Merry Christmas!!!","2019-12-25 15:58","Twitter Web App","1119298820809142274","1.2098191242742252e+18",,"False",,,"absent","absent",0,0,0,0,"[]","[]","['1119298820809142274']"
"1208784929947082752","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","Harare, Zimbabwe","I'm an aspiring blogger from Zimbabwe🇿🇼. Uncovering the beauty and true potential of my homeland🙏",,3141,1670,"2019-06-19","en","en","@donemore_m wow, interesting topic! should de usefull for me 😉","2019-12-22 16:22","Twitter Web App","1119298820809142274","1.2087826803069133e+18",,"False",,,"absent","absent",0,1,0,0,"[]","[]","['1119298820809142274']"
"1153611685405573120","hlcL1xramSEg3QD+vcCfnGsM4JcXCnv0n56t5pEpr8=","hlcL1xramSEg3QD+vcCfnGsM4JcXCnv0n56t5pEpr8=","hlcL1xramSEg3QD+vcCfnGsM4JcXCnv0n56t5pEpr8=","République centrafricaine","Je fais mon blog || je viens de #RCA 🇨🇫 || je suis fan de l'Équipe nationale de ⚽️ || Le plus important c'est la paix 🙏🏻",,1269,1156,"2019-07-03","fr","fr","@Hashilla1 belle","2019-07-23 10:23","Twitter Web Client","1058021368011341824","1.0872744102335488e+18",,"False",,,"absent","absent",0,0,0,0,"[]","[]","['1058021368011341824']"
"1208040655735443456","brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=","brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=","brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=",,"Your local Afrikan news junkie",,4763,4901,"2019-08-26","en","und","@Damilii11 @vostephens @brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=","2019-12-20 15:05","Twitter Web App","1202529411939078144","1.207981414899241e+18",,"False",,,"absent","absent",0,0,1,0,"[]","[]","['1202529411939078144', '131800388', 'brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=']"
"1145900585008422912","Ct4B012M22Y6RN1iDdtpoBJNMIhLhTGXvC821LpbBU=","Ct4B012M22Y6RN1iDdtpoBJNMIhLhTGXvC821LpbBU=","Ct4B012M22Y6RN1iDdtpoBJNMIhLhTGXvC821LpbBU=","Kingdom of Saudi Arabia","I used to love my old twitter account, then everyone from work found me. This is my new account 😫Stay private, keep them guessing.....!!",,435,4717,"2013-09-13","en","ar","@AL3rjam حكيمه وصبوره ولها كل الاحترام والحب والتقدير","2019-07-02 03:42","Twitter for iPhone","1273457550","1.145783226532864e+18",,"False",,,"absent","absent",0,0,0,0,"[]","[]","['1273457550']"
"1161657323410153472","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","Khartoum","Sudanese | truth fighter | activist | #BlueForSudan Some exclusives",,1058,1544,"2019-06-17","en","en","@Smith_JeffreyT @YousraElbagir @HEBobiwine It really upsets me that I'm not even surprised.","2019-08-14 15:14","Twitter Web App","620253665","1.16164941338479e+18",,"False",,,"absent","absent",0,0,2,1,"[]","[]","['620253665', '31188656', '1573440108']"
"1204780671803236352","BDSxIfMzwxjyRWEO69yhFaTBVS80QCb6SBPcdAoJI=","BDSxIfMzwxjyRWEO69yhFaTBVS80QCb6SBPcdAoJI=","BDSxIfMzwxjyRWEO69yhFaTBVS80QCb6SBPcdAoJI=",,"Peace for #Syria is my biggest dream 🇸🇾❤",,4433,2928,"2019-11-06","en","en","@MohamadFakhri14 @SyrianOfficial @thesyrianblog Beautiful photos! 👏","2019-12-11 15:11","Twitter Web App","709887460268974085","1.2044286336008602e+18",,"False",,,"absent","absent",0,0,0,0,"[]","[]","['709887460268974085', '4863819857', '3016356848']"
